Index,Field,Value
1.1.1.1,organic_description,"Shop DSW for the best athletic shoes, sneakers, boots, sandals, accessories and more. Free shipping, low prices, and extra perks for VIPs."
1.1.1.2,organic_link,https://www.dsw.com/
1.1.1.3,organic_title,"Shoes: Women's, Men's & Kids Shoes from Top Brands | DSW"
1.1.2.1,organic_description,"Shop our collection of shoes online at Macy's. Browse the latest trends and view our great selection of boots, heels, sandals, and more."
1.1.2.2,organic_link,https://www.macys.com/shop/shoes?id=13247
1.1.2.3,organic_title,Shoes - Macy's
1.1.3.1,organic_description,"Shop our collection of shoes online at Macy's. Browse the latest trends and view our great selection of boots, heels, sandals, and more."
1.1.3.2,organic_link,https://www.shoecarnival.com/
1.1.3.3,organic_title,"Shoe Store: Boots, Sneakers, & More Online | Shoe Carnival"
1.1.4.1,organic_description,"Shop our collection of shoes online at Macy's. Browse the latest trends and view our great selection of boots, heels, sandals, and more."
1.1.4.2,organic_link,https://www.nordstrom.com/browse/women/shoes
1.1.4.3,organic_title,Women's Shoes | Nordstrom
1.1.5.1,organic_description,"Shop our collection of shoes online at Macy's. Browse the latest trends and view our great selection of boots, heels, sandals, and more."
1.1.5.2,organic_link,https://www.zappos.com/c/shoes
1.1.5.3,organic_title,Shop Shoes | Zappos.com
1.1.6.1,organic_description,"Shop our collection of shoes online at Macy's. Browse the latest trends and view our great selection of boots, heels, sandals, and more."
1.1.6.2,organic_link,https://www.famousfootwear.com/
1.1.6.3,organic_title,"Famous Footwear, Shoes for Women, Men & Kids"
1.1.7.1,organic_description,"Shop our collection of shoes online at Macy's. Browse the latest trends and view our great selection of boots, heels, sandals, and more."
1.1.7.2,organic_link,https://www.rackroomshoes.com/
1.1.7.3,organic_title,Rack Room Shoes: Shoes Online with Free Shipping*
1.1.8.1,organic_description,"Shop our collection of shoes online at Macy's. Browse the latest trends and view our great selection of boots, heels, sandals, and more."
1.1.8.2,organic_link,https://www.6pm.com/shoes
1.1.8.3,organic_title,Shoes on Sale | 6pm
2.1.1.1,organic_description,Definition of pant (Entry 2 of 5). 1a : a panting breath. b : the visible movement of the chest accompanying such a breath. 2 : a throbbing or puffing sound.
2.1.1.2,organic_link,https://www.merriam-webster.com/dictionary/pant
2.1.1.3,organic_title,Pant Definition & Meaning - Merriam-Webster
2.1.2.1,organic_description,"1. Pant, gasp suggest breathing with more effort than usual. Pant suggests rapid, convulsive breathing, as from violent exertion or excitement: to pant ..."
2.1.2.2,organic_link,https://www.dictionary.com/browse/pant
2.1.2.3,organic_title,Pant Definition & Meaning - Dictionary.com
2.1.3.1,organic_description,"1. To breathe rapidly in short gasps, as after exertion. ; 2. To beat loudly or heavily; throb or pulsate. ; 3. To give off loud puffs, especially while moving."
2.1.3.2,organic_link,https://www.thefreedictionary.com/pant
