Index,Field,Value
1.1.1.1,organic_description,"Shop DSW for the best athletic shoes, sneakers, boots, sandals, accessories and more. Free shipping, low prices, and extra perks for VIPs."
1.1.1.2,organic_link,https://www.dsw.com/
1.1.1.3,organic_title,"Shoes: Women's, Men's & Kids Shoes from Top Brands | DSW"
1.1.2.1,organic_description,"Shoes Online- Shop shoes online for Men, Women & Kids at 70% Discount in EORS.Shop from the latest collection of shoes available in various brands, ..."
1.1.2.2,organic_link,https://www.myntra.com/shoes
1.1.2.3,organic_title,"Buy Shoes for Men, Women & Kids online in India - Myntra"
1.1.3.1,organic_description,"Results 1 - 12 of 30000+ — Shoes: Buy sports shoes, slippers, clogs, sneakers, formal shoes from Nike, Sparks, Red chief, Crocs and more at Amazon.in."
1.1.3.2,organic_link,https://www.amazon.in/Men-Shoes/b?ie=UTF8&node=1983518031
1.1.3.3,organic_title,Buy men's shoes online at up to 60% off - Amazon.in
1.1.4.1,organic_description,"If you are looking for stylish men's shoes online, then you are bound to be spoiled for choice. The numerous trendy types and footwear concepts available ..."
1.1.4.2,organic_link,"https://www.flipkart.com/mens-footwear/pr?sid=osp,cil"
1.1.4.3,organic_title,Men's Footwear - Upto 50% to 80% OFF on Branded ... - Flipkart
1.1.5.1,organic_description,"TOMS offers stylish shoes from our classic alpargatas, slip ons, sneakers & more to choose from! Shop all shoes in the TOMS online store today!"
1.1.5.2,organic_link,https://www.toms.com/
1.1.5.3,organic_title,"TOMS® Official Site | Shoes, Accessories & Apparel | TOMS"
1.1.6.1,organic_description,"TOMS offers stylish shoes from our classic alpargatas, slip ons, sneakers & more to choose from! Shop all shoes in the TOMS online store today!"
1.1.6.2,organic_link,https://www.famousfootwear.com/
1.1.6.3,organic_title,"Famous Footwear, Shoes for Women, Men & Kids"
1.1.7.1,organic_description,"TOMS offers stylish shoes from our classic alpargatas, slip ons, sneakers & more to choose from! Shop all shoes in the TOMS online store today!"
1.1.7.2,organic_link,https://en.wikipedia.org/wiki/Shoe
1.1.7.3,organic_title,Shoe - Wikipedia
1.1.8.1,organic_description,"TOMS offers stylish shoes from our classic alpargatas, slip ons, sneakers & more to choose from! Shop all shoes in the TOMS online store today!"
1.1.8.2,organic_link,https://www.zappos.com/c/shoes
1.1.8.3,organic_title,Shop Shoes | Zappos.com
1.1.9.1,organic_description,"TOMS offers stylish shoes from our classic alpargatas, slip ons, sneakers & more to choose from! Shop all shoes in the TOMS online store today!"
1.1.9.2,organic_link,https://www.nordstrom.com/browse/women/shoes
1.1.9.3,organic_title,Women's Shoes | Nordstrom
2.1.1.1,organic_description,"Rishabh Pant ; Name, Rishabh Pant ; Born, October 04, 1997 ; Haridwar, Uttarakhand ; Age, 24 years 288 days ; Teams, Delhi, India U19, Delhi Capitals, India, India A ..."
